0,1,2,3,4,5,6,7,8,9,10,class,class2
52,54,0,0,0,0,0,0,1365,0,0,chrome,Linux
52.66667,54,0,0,0,0,0,0,1365,0,0,chrome,Linux
41.66667,66,0,0,0,0,0,0,1548,0,0,chrome,Linux
52,66,0,0,0,0,0,0,1548,0,0,chrome,Linux
55.33333,66,0,0,0,0,0,0,1548,0,0,chrome,Linux
52,66,0,0,0,0,0,0,1548,0,0,chrome,Linux
52,66,0,0,0,0,0,0,1548,0,0,chrome,Linux
55.33333,66,0,0,0,0,0,0,1548,0,0,chrome,Linux
49.33333,66,0,0,0,0,0,0,1548,0,0,chrome,Linux
55.33333,66,0,0,0,0,0,0,1629,0,0,chrome,Linux
56.33333,66,0,0,0,0,0,0,1629,0,0,chrome,Linux
852.5,-97,0,0,0,0,0,0,1490,0,0,chrome,Linux
1009,-97,0,0,0,0,0,0,1490,0,0,chrome,Linux
40,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
36,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
38.5,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
38.75,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
39,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
37.5,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
37.25,-108,0,0,0,0,0,0,1628,0,0,firefox,Linux
40.75,-108,0,0,0,0,0,0,1628,0,0,firefox,Linux
41,-108,0,0,0,0,0,0,1628,0,0,firefox,Linux
38.75,-108,0,0,0,0,0,0,1628,0,0,firefox,Linux
41.25,-108,0,0,0,0,0,0,1628,0,0,firefox,Linux
40.75,-108,0,0,0,0,0,0,1628,0,0,firefox,Linux
37.75,-108,0,0,0,0,0,0,1628,0,0,firefox,Linux
38.5,-108,0,0,0,0,0,0,1628,0,0,firefox,Linux
39.25,-108,0,0,0,0,0,0,1628,0,0,firefox,Linux
40,-108,0,0,0,0,0,0,1628,0,0,firefox,Linux
39,-108,0,0,0,0,0,0,1628,0,0,firefox,Linux
55.25,-60,0,0,0,0,0,0,1589,0,0,chrome,Windows
3268.75,-119,0,0,0,0,0,0,1461,0,0,chrome,Linux
3269.25,-119,0,0,0,0,0,0,1461,0,0,chrome,Linux
3269.75,-119,0,0,0,0,0,0,1461,0,0,chrome,Linux
3269,-119,0,0,0,0,0,0,1461,0,0,chrome,Linux
3270,-119,0,0,0,0,0,0,1461,0,0,chrome,Linux
38,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
40,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
39.5,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
42,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
38.5,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
39,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
36.25,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
40.5,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
36,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
38.25,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
35.75,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
41.75,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
43.75,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
40,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
37.75,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
40.25,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
39.25,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
38.25,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
41.75,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
37.5,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
39.5,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
39.75,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
43.75,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
39.25,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
36,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
40.75,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
43,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
39.5,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
41.75,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
37.25,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
41.5,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
41.25,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
39,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
40.75,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
37.75,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
39.25,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
40,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
38.5,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
38.5,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
40.5,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
39.5,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
41.75,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
39.75,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
35.75,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
36,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
38,-108,0,0,0,0,0,0,1667,0,0,chrome,Linux
2161.25,-97,0,0,0,0,0,0,1490,0,0,chrome,Linux
1219.25,-97,0,0,0,0,0,0,1490,0,0,chrome,Linux
1615,-97,0,0,0,0,0,0,1490,0,0,chrome,Linux
878,-97,0,0,0,0,0,0,1490,0,0,chrome,Linux
943.5,-97,0,0,0,0,0,0,1490,0,0,chrome,Linux
90,145,0,0,0,0,0,0,1302,0,0,internet explorer,Windows
795,-119,0,0,0,0,0,0,1841,0,0,chrome,Linux
10.33333,-66,0,0,0,0,0,0,1790,0,0,firefox,Linux
603,145,0,0,0,0,0,0,1589,0,0,internet explorer,Windows
44.75,-122,0,0,0,0,0,0,1625,0,0,chrome,Linux
38.5,535,0,0,0,0,0,0,1629,0,0,safari,Linux
41.5,535,0,0,0,0,0,0,1629,0,0,safari,Linux
41,535,0,0,0,0,0,0,1629,0,0,safari,Linux
262,131,0,0,0,0,0,0,1456,0,0,firefox,Linux
44.5,567,0,0,0,0,0,0,1661,0,0,safari,Linux
41,535,0,0,0,0,0,0,1633,0,0,safari,Linux
174.33333,-60,0,0,0,0,0,0,1835,0,0,firefox,Linux
38.25,-60,0,0,0,0,0,0,1720,0,0,firefox,Windows
39.75,-60,0,0,0,0,0,0,1720,0,0,firefox,Windows
40.75,-60,0,0,0,0,0,0,1720,0,0,firefox,Windows
39.25,-60,0,0,0,0,0,0,1720,0,0,firefox,Windows
32.5,752,0,0,0,0,0,0,2142,0,0,firefox,Linux
24,-66,0,0,0,0,0,0,1764,0,0,firefox,Linux
61.33333,-66,0,0,0,0,0,0,1913,0,0,chrome,Linux
54.66667,555,0,0,0,0,0,0,1729,0,0,internet explorer,Windows
100,-122,0,0,0,0,0,0,1609,0,0,firefox,Linux
339,-60,0,0,0,0,0,0,2018,0,0,firefox,Linux
47.66667,-66,0,0,0,0,0,0,1913,0,0,chrome,Linux
118.25,-706,0,0,0,0,0,0,2434,0,0,chrome,Windows
37.75,-60,0,0,0,0,0,0,1631,0,0,firefox,Windows
37.5,-60,0,0,0,0,0,0,1631,0,0,firefox,Windows
36.75,-60,0,0,0,0,0,0,1631,0,0,firefox,Windows
36.25,-60,0,0,0,0,0,0,1631,0,0,firefox,Windows
51,-66,0,0,0,0,0,0,2061,0,0,chrome,Linux
54,-66,0,0,0,0,0,0,1730,0,0,firefox,Linux
174.66667,-111,0,0,0,0,0,0,2766,0,0,firefox,Linux
48.66667,-66,0,0,0,0,0,0,2090,0,0,firefox,Linux
50.66667,117,0,0,0,0,0,0,1118,0,0,chrome,Linux
25.75,-60,0,0,0,0,0,0,1453,0,0,firefox,Windows
34,168,0,0,0,0,0,0,1550,0,0,chrome,Linux
38.25,-60,0,0,0,0,0,0,1666,0,0,firefox,Windows
