silence_windows,beacon_12,beacon_15,src2dst_max_piat_ms,wavelet_2,wavelet_11,wavelet_1,wavelet_0,window_delta_2,window_delta_6,window_delta_4,mean_packet_size_delta,main_class,second_class
0,710,-17793,0,11378.027,30659.489,15634.392,627.417,65535,65535,1023,183.0,valak,infostealer
3,0,0,344,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,226.42857,emotet,dropper
2,0,0,1902,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,362.44444,emotet,dropper
0,60,714,0,585.557,3780.759,1942.904,2177.511,65535,1022,65535,174.36364,valak,infostealer
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,100.2,hancitor,dropper
1,-108,635,76250,1961.971,3054.149,726.205,738.793,65535,65535,0,123.2,hancitor,dropper
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.75,hancitor,dropper
0,0,0,0,63312.218,14156.762,108089.687,25425.564,0,0,0,127.0,hancitor,dropper
0,0,0,0,0.0,0.0,136521.106,0.0,0,0,0,639.03093,hancitor,dropper
0,0,0,0,2090.565,1320.28,1118.174,884.324,0,0,0,43.66667,qakbot,Obama271
3,0,0,440,52527.42,124299.329,76501.806,29731.133,64240,64240,64240,339.6,emotet,dropper
0,-120,596,74349,688.126,3020.57,1192.307,2799.17,63515,64240,64240,110.0,hancitor,dropper
0,0,0,0,198224.555,0.0,138375.14,0.0,0,0,0,103.4,hancitor,dropper
2,0,0,911,20167.984,49446.678,35682.303,14514.265,64240,0,0,353.44444,hancitor,dropper
2,0,0,408,59472.973,14662.998,80992.884,11983.939,0,0,0,149.15789,icedid,infostealer
1,0,0,329,69352.093,96529.173,92753.442,6363.535,0,0,0,100.6,hancitor,dropper
0,0,0,0,63312.218,14156.762,108089.687,25425.564,0,0,0,127.0,hancitor,dropper
3,-2320,-2184,77559,145989.565,12123.202,44028.884,57510.142,65535,0,65535,279.54545,qakbot,
1,-120,596,74994,688.126,3020.57,1192.307,2799.17,63515,64240,64240,110.0,hancitor,dropper
2,0,0,159,63312.218,14156.762,108089.687,25425.564,0,0,0,127.0,hancitor,dropper
