"bidirectional_min_ps","bidirectional_mean_ps","bidirectional_stddev_ps","bidirectional_max_ps","bidirectional_min_piat_ms","bidirectional_mean_piat_ms","bidirectional_max_piat_ms","src2dst_min_piat_ms","src2dst_max_piat_ms","src2dst_mean_piat_ms","dst2src_min_piat_ms","dst2src_max_piat_ms","dst2src_mean_piat_ms","bidirectional_ack_packets","silence_windows","src2dst_avg_packet_per_second","dst2src_avg_packet_per_second","std_packet_size_delta","mean_packet_size_delta","first_bit_per_peak","second_bit_per_peak","ps_0","ps_1","ps_2","ps_3","ps_4","ps_5","ps_6","ps_7","ps_8","ps_9","ps_10","ps_11","ps_12","ps_13","ps_14","ps_15","ps_16","ps_17","ps_18","ps_19","ps_20","ps_21","ps_22","ps_23","ps_24","ps_25","ps_26","ps_27","ps_28","ps_29","beacon_0","beacon_1","beacon_2","beacon_3","beacon_4","beacon_5","beacon_6","beacon_7","beacon_8","beacon_9","beacon_10","beacon_11","beacon_12","beacon_13","beacon_14","beacon_15","beacon_16","beacon_17","beacon_18","beacon_19","window_delta_0","window_delta_1","window_delta_2","window_delta_3","window_delta_4","window_delta_5","window_delta_6","window_delta_7","window_delta_8","window_delta_9","window_delta_10","window_delta_11","window_delta_12","window_delta_13","window_delta_14","window_delta_15","window_delta_16","window_delta_17","window_delta_18","window_delta_19","wavelet_0","wavelet_1","wavelet_2","wavelet_3","wavelet_4","wavelet_5","wavelet_6","wavelet_7","wavelet_8","wavelet_9","wavelet_10","wavelet_11","wavelet_12","wavelet_13","wavelet_14","wavelet_15","wavelet_16","wavelet_17","wavelet_18","wavelet_19","main_class","second_class"
60,123.05882,122.85432,434,0,9388.625,60006,0,60006,12518.16667,60,213,127,16,4,11555.23077,95.25,136.76897,103.5,246,0,66,-66,60,372,-289,60,-199,60,60,-434,66,60,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,-988,0,0,0,0,-16526,699,-112800,0,0,0,0,0,0,0,0,0,0,0,0,40960,40960,0,0,0,0,0,0,0,0,40960,40960,40960,40960,40960,40960,0,0,0,0,1852,84.853,103.923,120,365438.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dridex","infostealer"
54,601.33333,635.76725,1421,0,0,0,0,0,0,0,0,0,26,0,0,0,589.18366,652,420,0,66,-66,60,459,-54,589,-54,-1421,-1421,60,-1421,-1421,-1421,60,-1421,60,-1421,-426,-1421,-1421,60,60,-1145,-54,60,60,-54,0,0,0,-988,0,0,0,0,-16526,699,-112800,0,0,0,0,0,0,0,0,0,0,0,0,40960,40960,0,0,0,0,0,0,0,0,40960,40960,40960,40960,40960,40960,0,0,0,0,1852,84.853,103.923,120,365438.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dridex","infostealer"
54,171.33333,210.95167,600,0,0,0,0,0,0,0,0,0,11,0,0,0,236.3558,249.45455,490,0,66,-66,60,364,-54,600,-54,-564,60,-54,60,-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-988,0,0,0,0,-16526,699,-112800,0,0,0,0,0,0,0,0,0,0,0,0,40960,40960,0,0,0,0,0,0,0,0,40960,40960,40960,40960,40960,40960,0,0,0,0,1852,84.853,103.923,120,365438.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dridex","infostealer"
54,161.41667,154.18434,440,0,0,0,0,0,0,0,0,0,11,0,0,0,161.32658,183.09091,0,0,66,-66,60,440,-54,336,-282,60,-399,60,60,-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-988,0,0,0,0,-16526,699,-112800,0,0,0,0,0,0,0,0,0,0,0,0,40960,40960,0,0,0,0,0,0,0,0,40960,40960,40960,40960,40960,40960,0,0,0,0,1852,84.853,103.923,120,365438.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dridex","infostealer"
54,219.16667,319.43952,1000,0,0,0,0,0,0,0,0,0,11,0,0,0,347.94656,296.90909,481,0,66,-66,60,355,1000,-54,-66,-735,60,-54,60,-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-988,0,0,0,0,-16526,699,-112800,0,0,0,0,0,0,0,0,0,0,0,0,40960,40960,0,0,0,0,0,0,0,0,40960,40960,40960,40960,40960,40960,0,0,0,0,1852,84.853,103.923,120,365438.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dridex","infostealer"
54,162.75,156.85843,456,0,0,0,0,0,0,0,0,0,11,0,0,0,165.00744,186,918,0,66,-66,60,456,-54,336,-282,60,-399,60,60,-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-988,0,0,0,0,-16526,699,-112800,0,0,0,0,0,0,0,0,0,0,0,0,40960,40960,0,0,0,0,0,0,0,0,40960,40960,40960,40960,40960,40960,0,0,0,0,1852,84.853,103.923,120,365438.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dridex","infostealer"
54,133.41667,114.24333,348,0,0,0,0,0,0,0,0,0,11,0,0,0,117.19067,139.27273,765,0,66,-66,60,348,-54,291,-54,-289,-199,60,60,-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-988,0,0,0,0,-16526,699,-112800,0,0,0,0,0,0,0,0,0,0,0,0,40960,40960,0,0,0,0,0,0,0,0,40960,40960,40960,40960,40960,40960,0,0,0,0,1852,84.853,103.923,120,365438.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dridex","infostealer"
54,807.87273,664.02513,1421,0,0,0,0,0,0,0,0,0,54,0,0,0,634.07432,549.55556,1409,0,66,-66,60,446,-54,363,-284,-1421,60,-1421,-1421,60,-1421,-1421,-1421,-1421,60,60,-1421,-1421,-1421,-1421,60,60,-1421,-1421,-1421,-1421,-1421,60,-988,0,0,0,0,-16526,699,-112800,0,0,0,0,0,0,0,0,0,0,0,0,40960,40960,0,0,0,0,0,0,0,0,40960,40960,40960,40960,40960,40960,0,0,0,0,1852,84.853,103.923,120,365438.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dridex","infostealer"
54,902.54082,656.91723,1421,0,0,0,0,0,0,0,0,0,97,0,0,0,629.36818,463.40206,1320,0,66,-66,60,442,-54,362,-54,-285,-1421,60,-1421,-1421,60,-1421,-1421,-1421,-1421,60,60,-1421,-1421,-1421,-1421,-1421,60,60,-1421,-1421,-1421,-1421,-988,0,0,0,0,-16526,699,-112800,0,0,0,0,0,0,0,0,0,0,0,0,40960,40960,0,0,0,0,0,0,0,0,40960,40960,40960,40960,40960,40960,0,0,0,0,1852,84.853,103.923,120,365438.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dridex","infostealer"
54,168.16667,201.11545,564,0,0,0,0,0,0,0,0,0,11,0,0,0,223.74188,242.54545,0,0,66,-66,60,407,-54,519,-54,-564,-54,60,60,-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-988,0,0,0,0,-16526,699,-112800,0,0,0,0,0,0,0,0,0,0,0,0,40960,40960,0,0,0,0,0,0,0,0,40960,40960,40960,40960,40960,40960,0,0,0,0,1852,84.853,103.923,120,365438.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dridex","infostealer"
