Source_IP,Source_port,Destination_IP,Destination_port,Protocol,Timestamp,fwd_packets_amount,bwd_packets_amount,fwd_packets_length,bwd_packets_length,max_fwd_packet ,min_fwd_packet,max_bwd_packet,min_bwd_packet,FIN_count,SYN_count,RST_count,PSH_count,silence_windows,min_fwd_inter_arrival_time,max_fwd_inter_arrival_time,mean_fwd_inter_arrival_time,min_bwd_inter_arrival_time,max_bwd_inter_arrival_time,mean_bwd_inter_arrival_time,min_bib_inter_arrival_time,max_bib_inter_arrival_time,mean_bib_inter_arrival_time,first_packet_sizes_0,first_packet_sizes_1,first_packet_sizes_2,first_packet_sizes_3,first_packet_sizes_4,first_packet_sizes_5,first_packet_sizes_6,first_packet_sizes_7,first_packet_sizes_8,first_packet_sizes_9,first_packet_sizes_10,first_packet_sizes_11,first_packet_sizes_12,first_packet_sizes_13,first_packet_sizes_14,first_packet_sizes_15,first_packet_sizes_16,first_packet_sizes_17,first_packet_sizes_18,first_packet_sizes_19,first_packet_sizes_20,first_packet_sizes_21,first_packet_sizes_22,first_packet_sizes_23,first_packet_sizes_24,first_packet_sizes_25,first_packet_sizes_26,first_packet_sizes_27,first_packet_sizes_28,first_packet_sizes_29,min_packet_size,max_packet_size,mean_packet_size,STD_packet_size,mean_delta_byte,STD_delta_byte,bandwidth_0,bandwidth_1,bandwidth_2,bandwidth_3,bandwidth_4,bandwidth_5,bandwidth_6,bandwidth_7,bandwidth_8,bandwidth_9,bandwidth_10,bandwidth_11,bandwidth_12,bandwidth_13,bandwidth_14,bandwidth_15,bandwidth_16,bandwidth_17,bandwidth_18,bandwidth_19,bpp_0,bpp_1,bpp_2,beaconning_0,beaconning_1,beaconning_2,beaconning_3,beaconning_4,beaconning_5,beaconning_6,beaconning_7,beaconning_8,beaconning_9,beaconning_10,beaconning_11,beaconning_12,beaconning_13,beaconning_14,beaconning_15,beaconning_16,beaconning_17,beaconning_18,beaconning_19,pps_fwd,pps_bwd,count_big_requests,ACK_count,label
10.100.102.20,55556,173.194.24.8,443,udp,1726542931.19899,645,810,23,23,1334,60,1506,60,0,0,0,0,9,0.0,3.12040901184082,0.016673817006193,0.0,3.2197048664093,0.013207284020789,0.0,3.2197048664093,0.014743994519473,1292,1292,-1292,-1292,-1292,-1292,-1289,81,81,125,113,1288,248,829,-572,-159,-65,-493,74,-63,-63,-90,77,75,77,117,117,-65,-63,-119,63,1292,334.304347826087,461.123008655533,137.977777777778,299.210033171712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14787,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1077605469401,20.1077605469401,5,46,VOD
10.100.102.20,62873,173.194.187.71,443,udp,1726541786.89279,862,1086,23,25,1292,74,1292,63,0,0,0,0,13,0.0,2.61553192138672,0.017808378157649,0.0,3.02240085601807,0.014007250467936,0.0,3.02240085601807,0.01568926898361,1292,1292,-1292,-1292,-1292,-1292,-1280,83,81,82,125,114,1288,246,840,-572,-159,-65,-70,-482,-63,-80,-63,74,77,77,74,-65,117,117,63,1292,322.583333333333,454.515531148888,131.0,293.803161780707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9032,4780,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.97358842639641,9.75390046347436,5,48,VOD
10.10.0.127,55592,95.142.206.162,443,tcp,1728384181.55087,56,155,792,1457,2131,60,1434,60,1,2,1,453,9,2.00271606445312e-05,0.006574153900146,0.001054091112954,0.0,0.002885818481445,0.000411038244924,0.0,0.006574153900146,0.000581706304686,66,-66,60,2131,-60,-60,-310,134,899,-60,-60,-641,-1434,-1434,-1434,-1434,60,-1434,60,-1434,-1434,60,-1434,-1434,60,-1434,60,-1434,-1434,60,60,2131,949.380168963984,651.016988026933,912.349644128114,638.839243328554,0,64348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1932163,147959,55034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531.729527887763,978.194346126856,3,2248,VOD
192.168.1.23,63848,13.226.2.66,443,tcp,1728098376.12035,15812,23815,15812,23816,1877,60,1494,60,0,2,0,3901,286,2.86102294921875e-06,17.258082151413,0.003810490003996,0.0,17.3232040405273,0.002529744823615,0.0,17.3232040405273,0.003040788879239,66,-66,60,1877,-60,-60,-1494,-1494,-1494,-344,66,60,60,118,146,650,-60,-200,-125,60,85,-60,-1140,-85,60,289,-60,-1494,-1494,-1494,60,1877,915.488366811345,694.892459392857,147.668281727105,425.63450238176,0,65018,0,867,0,839,0,3910,0,8005,0,7988,0,7977,0,7966,0,0,0,0,4717691,4329460,3506332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.408636587477,395.239317541573,30,39627,VOD
10.10.0.127,58144,185.226.52.197,443,tcp,1728386965.28082,108,192,6,6,2164,60,1434,60,0,2,0,5,2,7.15255737304688e-06,30.838366985321,0.297430444646765,0.0,30.93772315979,0.167289384951194,0.0,30.93772315979,0.2141401664416,66,-66,60,1780,-60,-60,-1434,-1434,60,-270,134,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1780,524.5,635.791960209208,661.454545454546,706.086315047616,0,63728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4491429427349,29.4491429427349,2,11,VOD
10.100.102.20,53857,82.166.78.14,443,tcp,1726526617.69659,1956,2663,10,7,1334,60,1506,60,1,2,0,3,3,0.0,11.4830989837646,0.031058589983084,0.0,11.283618927002,0.02265178400728,0.0,11.4830989837646,0.026211799700866,66,-66,60,1334,587,-60,-1506,-213,-1506,66,74,66,-1506,60,118,-60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1506,435.764705882353,584.117285705711,690.25,638.127877074807,0,65020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7348,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164613939509861,0.115229757656903,2,16,VOD
10.10.0.127,51100,95.142.206.173,443,tcp,1728379454.32507,41,55,11,15,2132,60,1434,60,1,2,1,9,3,2.78949737548828e-05,0.074472904205322,0.010694242105251,0.0,0.081808090209961,0.006724162535234,0.0,0.081808090209961,0.008419717351596,66,-66,60,2132,-60,-60,-310,134,850,-60,-60,-638,-1434,60,-1434,-1434,60,-1434,-1434,60,-1434,-1434,60,60,60,-1434,0,0,0,0,60,2132,628.0,680.333628563109,737.92,700.690968687338,0,64348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.7946684568701,70.6290933502774,2,25,VOD
10.100.102.20,62507,172.217.131.232,443,udp,1726544278.00201,264,343,10,9,1334,60,1506,60,0,0,0,0,5,0.0,3.51312494277954,0.026500666683371,0.0,3.71141886711121,0.020332816043331,0.0,3.71141886711121,0.023015373817582,1292,1292,-1292,-1292,-1292,-1292,-1289,81,81,79,125,116,74,-83,-159,-572,75,75,-66,0,0,0,0,0,0,0,0,0,0,0,66,1292,559.315789473684,569.49359338678,128.555555555556,297.141609005654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7360517641917,18.6624465877726,2,19,VOD
10.100.102.20,60328,82.166.78.14,443,udp,1726554615.6571,47,43,22,23,1334,60,1506,60,0,2,0,9,8,0.0,6.89691090583801,0.157067552525946,0.0,6.96913909912109,0.17058165128841,0.0,6.96913909912109,0.163524288601346,1292,1292,-1292,-1292,-1292,-1167,-1292,1292,82,125,112,747,137,-1292,202,-572,-158,75,75,-69,-71,-165,-63,-63,-69,75,75,79,77,79,63,1292,351.266666666667,479.549622041348,142.113636363636,310.631410920424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14877,698,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9613488353315,3.09595560057384,5,43,VOD
10.100.102.20,65281,212.29.228.16,443,udp,1726525594.74691,272,359,21,22,1292,60,1292,60,0,0,0,12,5,0.0,1.89677786827087,0.024331561782781,0.0,1.88815903663635,0.018383872210149,0.0,1.89677786827087,0.020947694022758,1292,1292,-1292,-1292,-1292,-1292,-1171,83,81,82,125,112,747,137,195,-158,-573,-69,-175,-69,-63,-63,75,73,77,79,73,-67,74,-1292,63,1292,336.232558139535,466.994489146773,152.02380952381,325.437104456324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13673,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16837475062377,3.31924973874871,3,41,VOD
